,day_of_week,hour_of_day,num_of_commits,owner,repo
130,5,10,0,eczarny,spectacle
131,5,11,11,eczarny,spectacle
132,5,12,2,eczarny,spectacle
133,5,13,0,eczarny,spectacle
134,5,14,7,eczarny,spectacle
135,5,15,1,eczarny,spectacle
136,5,16,2,eczarny,spectacle
137,5,17,4,eczarny,spectacle
138,5,18,2,eczarny,spectacle
139,5,19,3,eczarny,spectacle
140,5,20,1,eczarny,spectacle
141,5,21,2,eczarny,spectacle
142,5,22,2,eczarny,spectacle
143,5,23,3,eczarny,spectacle
144,6,0,1,eczarny,spectacle
145,6,1,2,eczarny,spectacle
146,6,2,1,eczarny,spectacle
147,6,3,0,eczarny,spectacle
148,6,4,0,eczarny,spectacle
149,6,5,0,eczarny,spectacle
150,6,6,0,eczarny,spectacle
151,6,7,0,eczarny,spectacle
152,6,8,0,eczarny,spectacle
153,6,9,0,eczarny,spectacle
154,6,10,0,eczarny,spectacle
155,6,11,0,eczarny,spectacle
156,6,12,2,eczarny,spectacle
157,6,13,6,eczarny,spectacle
158,6,14,7,eczarny,spectacle
159,6,15,8,eczarny,spectacle
160,6,16,14,eczarny,spectacle
161,6,17,7,eczarny,spectacle
162,6,18,4,eczarny,spectacle
163,6,19,3,eczarny,spectacle
164,6,20,9,eczarny,spectacle
165,6,21,8,eczarny,spectacle
166,6,22,9,eczarny,spectacle
167,6,23,5,eczarny,spectacle
0,0,0,1,JakeWharton,ViewPagerIndicator
1,0,1,8,JakeWharton,ViewPagerIndicator
2,0,2,6,JakeWharton,ViewPagerIndicator
3,0,3,1,JakeWharton,ViewPagerIndicator
4,0,4,0,JakeWharton,ViewPagerIndicator
5,0,5,0,JakeWharton,ViewPagerIndicator
6,0,6,0,JakeWharton,ViewPagerIndicator
7,0,7,0,JakeWharton,ViewPagerIndicator
8,0,8,0,JakeWharton,ViewPagerIndicator
9,0,9,0,JakeWharton,ViewPagerIndicator
10,0,10,0,JakeWharton,ViewPagerIndicator
11,0,11,0,JakeWharton,ViewPagerIndicator
12,0,12,0,JakeWharton,ViewPagerIndicator
13,0,13,0,JakeWharton,ViewPagerIndicator
14,0,14,0,JakeWharton,ViewPagerIndicator
15,0,15,0,JakeWharton,ViewPagerIndicator
16,0,16,0,JakeWharton,ViewPagerIndicator
17,0,17,2,JakeWharton,ViewPagerIndicator
18,0,18,0,JakeWharton,ViewPagerIndicator
19,0,19,1,JakeWharton,ViewPagerIndicator
20,0,20,1,JakeWharton,ViewPagerIndicator
21,0,21,12,JakeWharton,ViewPagerIndicator
22,0,22,1,JakeWharton,ViewPagerIndicator
23,0,23,0,JakeWharton,ViewPagerIndicator
24,1,0,0,JakeWharton,ViewPagerIndicator
25,1,1,0,JakeWharton,ViewPagerIndicator
26,1,2,0,JakeWharton,ViewPagerIndicator
27,1,3,0,JakeWharton,ViewPagerIndicator
28,1,4,0,JakeWharton,ViewPagerIndicator
29,1,5,0,JakeWharton,ViewPagerIndicator
30,1,6,0,JakeWharton,ViewPagerIndicator
31,1,7,0,JakeWharton,ViewPagerIndicator
32,1,8,0,JakeWharton,ViewPagerIndicator
33,1,9,0,JakeWharton,ViewPagerIndicator
34,1,10,1,JakeWharton,ViewPagerIndicator
35,1,11,2,JakeWharton,ViewPagerIndicator
36,1,12,0,JakeWharton,ViewPagerIndicator
37,1,13,0,JakeWharton,ViewPagerIndicator
38,1,14,2,JakeWharton,ViewPagerIndicator
39,1,15,2,JakeWharton,ViewPagerIndicator
40,1,16,0,JakeWharton,ViewPagerIndicator
41,1,17,0,JakeWharton,ViewPagerIndicator
42,1,18,0,JakeWharton,ViewPagerIndicator
43,1,19,1,JakeWharton,ViewPagerIndicator
44,1,20,1,JakeWharton,ViewPagerIndicator
45,1,21,1,JakeWharton,ViewPagerIndicator
46,1,22,1,JakeWharton,ViewPagerIndicator
47,1,23,1,JakeWharton,ViewPagerIndicator
48,2,0,2,JakeWharton,ViewPagerIndicator
49,2,1,0,JakeWharton,ViewPagerIndicator
50,2,2,0,JakeWharton,ViewPagerIndicator
51,2,3,0,JakeWharton,ViewPagerIndicator
52,2,4,0,JakeWharton,ViewPagerIndicator
53,2,5,0,JakeWharton,ViewPagerIndicator
54,2,6,0,JakeWharton,ViewPagerIndicator
55,2,7,1,JakeWharton,ViewPagerIndicator
56,2,8,0,JakeWharton,ViewPagerIndicator
57,2,9,0,JakeWharton,ViewPagerIndicator
58,2,10,1,JakeWharton,ViewPagerIndicator
59,2,11,1,JakeWharton,ViewPagerIndicator
60,2,12,0,JakeWharton,ViewPagerIndicator
61,2,13,0,JakeWharton,ViewPagerIndicator
62,2,14,0,JakeWharton,ViewPagerIndicator
63,2,15,0,JakeWharton,ViewPagerIndicator
64,2,16,3,JakeWharton,ViewPagerIndicator
65,2,17,2,JakeWharton,ViewPagerIndicator
66,2,18,0,JakeWharton,ViewPagerIndicator
67,2,19,2,JakeWharton,ViewPagerIndicator
68,2,20,7,JakeWharton,ViewPagerIndicator
69,2,21,1,JakeWharton,ViewPagerIndicator
70,2,22,7,JakeWharton,ViewPagerIndicator
71,2,23,2,JakeWharton,ViewPagerIndicator
72,3,0,0,JakeWharton,ViewPagerIndicator
73,3,1,0,JakeWharton,ViewPagerIndicator
74,3,2,0,JakeWharton,ViewPagerIndicator
75,3,3,0,JakeWharton,ViewPagerIndicator
76,3,4,0,JakeWharton,ViewPagerIndicator
77,3,5,0,JakeWharton,ViewPagerIndicator
78,3,6,0,JakeWharton,ViewPagerIndicator
79,3,7,2,JakeWharton,ViewPagerIndicator
80,3,8,1,JakeWharton,ViewPagerIndicator
81,3,9,2,JakeWharton,ViewPagerIndicator
82,3,10,1,JakeWharton,ViewPagerIndicator
83,3,11,1,JakeWharton,ViewPagerIndicator
84,3,12,0,JakeWharton,ViewPagerIndicator
85,3,13,1,JakeWharton,ViewPagerIndicator
86,3,14,1,JakeWharton,ViewPagerIndicator
87,3,15,1,JakeWharton,ViewPagerIndicator
88,3,16,0,JakeWharton,ViewPagerIndicator
89,3,17,3,JakeWharton,ViewPagerIndicator
90,3,18,0,JakeWharton,ViewPagerIndicator
91,3,19,0,JakeWharton,ViewPagerIndicator
92,3,20,2,JakeWharton,ViewPagerIndicator
93,3,21,8,JakeWharton,ViewPagerIndicator
94,3,22,0,JakeWharton,ViewPagerIndicator
95,3,23,1,JakeWharton,ViewPagerIndicator
96,4,0,1,JakeWharton,ViewPagerIndicator
97,4,1,0,JakeWharton,ViewPagerIndicator
98,4,2,0,JakeWharton,ViewPagerIndicator
99,4,3,0,JakeWharton,ViewPagerIndicator
100,4,4,0,JakeWharton,ViewPagerIndicator
101,4,5,0,JakeWharton,ViewPagerIndicator
102,4,6,0,JakeWharton,ViewPagerIndicator
103,4,7,0,JakeWharton,ViewPagerIndicator
104,4,8,0,JakeWharton,ViewPagerIndicator
105,4,9,1,JakeWharton,ViewPagerIndicator
106,4,10,0,JakeWharton,ViewPagerIndicator
107,4,11,3,JakeWharton,ViewPagerIndicator
108,4,12,5,JakeWharton,ViewPagerIndicator
109,4,13,8,JakeWharton,ViewPagerIndicator
110,4,14,0,JakeWharton,ViewPagerIndicator
111,4,15,4,JakeWharton,ViewPagerIndicator
112,4,16,2,JakeWharton,ViewPagerIndicator
113,4,17,8,JakeWharton,ViewPagerIndicator
114,4,18,0,JakeWharton,ViewPagerIndicator
115,4,19,0,JakeWharton,ViewPagerIndicator
116,4,20,3,JakeWharton,ViewPagerIndicator
117,4,21,0,JakeWharton,ViewPagerIndicator
118,4,22,3,JakeWharton,ViewPagerIndicator
119,4,23,4,JakeWharton,ViewPagerIndicator
120,5,0,1,JakeWharton,ViewPagerIndicator
121,5,1,11,JakeWharton,ViewPagerIndicator
122,5,2,1,JakeWharton,ViewPagerIndicator
123,5,3,0,JakeWharton,ViewPagerIndicator
124,5,4,0,JakeWharton,ViewPagerIndicator
125,5,5,0,JakeWharton,ViewPagerIndicator
126,5,6,0,JakeWharton,ViewPagerIndicator
127,5,7,0,JakeWharton,ViewPagerIndicator
128,5,8,1,JakeWharton,ViewPagerIndicator
129,5,9,2,JakeWharton,ViewPagerIndicator
130,5,10,3,JakeWharton,ViewPagerIndicator
131,5,11,5,JakeWharton,ViewPagerIndicator
132,5,12,3,JakeWharton,ViewPagerIndicator
133,5,13,2,JakeWharton,ViewPagerIndicator
134,5,14,3,JakeWharton,ViewPagerIndicator
135,5,15,4,JakeWharton,ViewPagerIndicator
136,5,16,2,JakeWharton,ViewPagerIndicator
137,5,17,1,JakeWharton,ViewPagerIndicator
138,5,18,1,JakeWharton,ViewPagerIndicator
139,5,19,1,JakeWharton,ViewPagerIndicator
140,5,20,0,JakeWharton,ViewPagerIndicator
141,5,21,0,JakeWharton,ViewPagerIndicator
142,5,22,0,JakeWharton,ViewPagerIndicator
143,5,23,0,JakeWharton,ViewPagerIndicator
144,6,0,4,JakeWharton,ViewPagerIndicator
145,6,1,5,JakeWharton,ViewPagerIndicator
146,6,2,3,JakeWharton,ViewPagerIndicator
147,6,3,0,JakeWharton,ViewPagerIndicator
148,6,4,1,JakeWharton,ViewPagerIndicator
149,6,5,0,JakeWharton,ViewPagerIndicator
150,6,6,0,JakeWharton,ViewPagerIndicator
151,6,7,0,JakeWharton,ViewPagerIndicator
152,6,8,0,JakeWharton,ViewPagerIndicator
153,6,9,0,JakeWharton,ViewPagerIndicator
154,6,10,0,JakeWharton,ViewPagerIndicator
155,6,11,0,JakeWharton,ViewPagerIndicator
156,6,12,1,JakeWharton,ViewPagerIndicator
157,6,13,0,JakeWharton,ViewPagerIndicator
158,6,14,0,JakeWharton,ViewPagerIndicator
159,6,15,0,JakeWharton,ViewPagerIndicator
160,6,16,0,JakeWharton,ViewPagerIndicator
161,6,17,7,JakeWharton,ViewPagerIndicator
162,6,18,9,JakeWharton,ViewPagerIndicator
163,6,19,1,JakeWharton,ViewPagerIndicator
164,6,20,2,JakeWharton,ViewPagerIndicator
165,6,21,1,JakeWharton,ViewPagerIndicator
166,6,22,0,JakeWharton,ViewPagerIndicator
167,6,23,0,JakeWharton,ViewPagerIndicator
0,0,0,0,rendrjs,rendr
1,0,1,1,rendrjs,rendr
2,0,2,0,rendrjs,rendr
3,0,3,0,rendrjs,rendr
4,0,4,0,rendrjs,rendr
5,0,5,0,rendrjs,rendr
6,0,6,0,rendrjs,rendr
7,0,7,0,rendrjs,rendr
8,0,8,1,rendrjs,rendr
9,0,9,3,rendrjs,rendr
10,0,10,2,rendrjs,rendr
11,0,11,0,rendrjs,rendr
12,0,12,1,rendrjs,rendr
13,0,13,2,rendrjs,rendr
