owner,repo,additions,commits,deletions,weekofyear
jquery,jquery-ui,44,2,4,45
jschr,bootstrap-modal,0,0,0,45
lebinh,ngxtop,0,0,0,45
madebymany,sir-trevor-js,79,2,16,45
rendrjs,rendr,0,0,0,45
IanLunn,Hover,0,0,0,46
JakeWharton,ViewPagerIndicator,0,0,0,46
carrierwaveuploader,carrierwave,0,0,0,46
eczarny,spectacle,4,1,3,46
inconshreveable,ngrok,0,0,0,46
jquery,jquery-ui,36,1,27,46
jschr,bootstrap-modal,0,0,0,46
lebinh,ngxtop,0,0,0,46
madebymany,sir-trevor-js,2,1,3,46
rendrjs,rendr,0,0,0,46
IanLunn,Hover,0,0,0,47
JakeWharton,ViewPagerIndicator,0,0,0,47
carrierwaveuploader,carrierwave,33,4,15,47
eczarny,spectacle,0,0,0,47
inconshreveable,ngrok,0,0,0,47
jquery,jquery-ui,0,0,0,47
jschr,bootstrap-modal,0,0,0,47
lebinh,ngxtop,0,0,0,47
madebymany,sir-trevor-js,0,0,0,47
rendrjs,rendr,0,0,0,47
IanLunn,Hover,0,0,0,48
JakeWharton,ViewPagerIndicator,0,0,0,48
carrierwaveuploader,carrierwave,0,0,0,48
eczarny,spectacle,0,0,0,48
inconshreveable,ngrok,0,0,0,48
jquery,jquery-ui,39,2,26,48
jschr,bootstrap-modal,0,0,0,48
lebinh,ngxtop,0,0,0,48
madebymany,sir-trevor-js,0,0,0,48
rendrjs,rendr,0,0,0,48
IanLunn,Hover,0,0,0,49
JakeWharton,ViewPagerIndicator,0,0,0,49
carrierwaveuploader,carrierwave,0,0,0,49
eczarny,spectacle,95,4,108,49
inconshreveable,ngrok,0,0,0,49
jquery,jquery-ui,0,0,0,49
jschr,bootstrap-modal,0,0,0,49
lebinh,ngxtop,0,0,0,49
madebymany,sir-trevor-js,0,0,0,49
rendrjs,rendr,0,0,0,49
IanLunn,Hover,0,0,0,50
JakeWharton,ViewPagerIndicator,0,0,0,50
carrierwaveuploader,carrierwave,0,0,0,50
eczarny,spectacle,1040,7,697,50
inconshreveable,ngrok,0,0,0,50
jquery,jquery-ui,98,9,64,50
jschr,bootstrap-modal,0,0,0,50
lebinh,ngxtop,0,0,0,50
madebymany,sir-trevor-js,0,0,0,50
rendrjs,rendr,0,0,0,50
IanLunn,Hover,0,0,0,51
JakeWharton,ViewPagerIndicator,0,0,0,51
carrierwaveuploader,carrierwave,19,2,12,51
eczarny,spectacle,1619,34,1216,51
inconshreveable,ngrok,0,0,0,51
jquery,jquery-ui,11,2,0,51
jschr,bootstrap-modal,0,0,0,51
lebinh,ngxtop,0,0,0,51
madebymany,sir-trevor-js,0,0,0,51
rendrjs,rendr,0,0,0,51
