owner,repo,weekofyear,total_stars
GoogleCloudPlatform,google-cloud-ruby,50,3
GoogleCloudPlatform,google-cloud-ruby,51,1
GoogleCloudPlatform,google-cloud-ruby,52,2
GoogleCloudPlatform,nodejs-docker,2,1
GoogleCloudPlatform,nodejs-docker,3,1
GoogleCloudPlatform,nodejs-docker,6,1
GoogleCloudPlatform,nodejs-docker,10,1
GoogleCloudPlatform,nodejs-docker,13,1
GoogleCloudPlatform,nodejs-docker,18,1
GoogleCloudPlatform,nodejs-docker,19,1
GoogleCloudPlatform,nodejs-docker,21,1
GoogleCloudPlatform,nodejs-docker,22,1
GoogleCloudPlatform,nodejs-docker,25,2
GoogleCloudPlatform,nodejs-docker,26,39
GoogleCloudPlatform,nodejs-docker,27,5
GoogleCloudPlatform,nodejs-docker,29,1
GoogleCloudPlatform,nodejs-docker,30,1
GoogleCloudPlatform,nodejs-docker,32,1
GoogleCloudPlatform,nodejs-docker,33,1
GoogleCloudPlatform,nodejs-docker,36,5
GoogleCloudPlatform,nodejs-docker,41,1
GoogleCloudPlatform,nodejs-docker,42,1
GoogleCloudPlatform,nodejs-docker,43,5
GoogleCloudPlatform,nodejs-docker,44,2
GoogleCloudPlatform,nodejs-docker,48,3
GoogleCloudPlatform,nodejs-docker,49,2
GoogleCloudPlatform,nodejs-docker,50,2
GoogleCloudPlatform,nodejs-docs-samples,2,1
GoogleCloudPlatform,nodejs-docs-samples,8,4
GoogleCloudPlatform,nodejs-docs-samples,11,1
